merchant,industry,business_size,country,dominant_product,checkout_usd,paylink_usd,total_usd,avg_monthly_vol,tenure_months,flag_industry,flag_country,flag_product,tier
a3b3682e,Clothing & accessory,small,US,unattributed,0.0,0.0,15487847.23,1032523.1486666667,70,0,1,0,Tier 1: Direct Sales Outreach
c19f51f6,Digital goods,small,US,unattributed,0.0,0.0,14869607.75,991307.1833333333,34,0,1,0,Tier 1: Direct Sales Outreach
65c175d2,Others,small,US,unattributed,0.0,0.0,13052920.159999998,870194.6773333332,17,0,1,0,Tier 1: Direct Sales Outreach
3519f447,Merchandise,large,US,unattributed,0.0,0.0,12882692.37,858846.1579999999,37,0,1,0,Tier 1: Direct Sales Outreach
007f783b,Merchandise,small,US,unattributed,0.0,0.0,12074538.610000001,804969.2406666668,39,0,1,0,Tier 1: Direct Sales Outreach
287439fa,Business services,small,US,unattributed,0.0,0.0,11303352.379999999,753556.8253333332,7,1,1,0,Tier 1: Direct Sales Outreach
7e76aa4d,Leisure,small,US,unattributed,0.0,0.0,11294705.379999999,752980.3586666666,76,0,1,0,Tier 1: Direct Sales Outreach
e2df5adf,Software,medium,US,unattributed,0.0,859.71,9981385.649999999,665425.7099999998,26,0,1,0,Tier 1: Direct Sales Outreach
685b8f6d,Ticketing & events,medium,US,unattributed,0.0,0.0,4822042.380000001,602755.2975000001,40,0,1,0,Tier 1: Direct Sales Outreach
92e18baa,Business services,small,US,unattributed,0.0,0.0,8811507.6,587433.84,28,1,1,0,Tier 1: Direct Sales Outreach
8655c04e,Business services,medium,CA,unattributed,0.0,0.0,8764264.910000002,584284.3273333334,51,1,0,0,Tier 1: Direct Sales Outreach
e51afedb,Software,small,US,unattributed,0.0,0.0,8475062.780000001,565004.1853333334,52,0,1,0,Tier 1: Direct Sales Outreach
5ffd89dc,Software,small,JP,unattributed,0.0,0.0,8446385.020000001,563092.3346666668,56,0,1,0,Tier 1: Direct Sales Outreach
5d03e714,Education,medium,US,unattributed,0.0,0.0,8218932.88,547928.8586666667,117,0,1,0,Tier 1: Direct Sales Outreach
f1dde770,"Medical services, drugs, testing labs & equipment medium",small,US,unattributed,0.0,0.0,8070820.0,538054.6666666666,42,0,1,0,Tier 1: Direct Sales Outreach
2128190b,Others,small,US,unattributed,0.0,0.0,7437758.58,495850.572,7,0,1,0,Tier 1: Direct Sales Outreach
706816ed,"Religion, politics & other memberships",small,US,unattributed,0.0,0.0,6825788.550000001,455052.57000000007,95,0,1,0,Tier 1: Direct Sales Outreach
1ed9a52d,Others,medium,US,unattributed,0.0,9796.0,6824690.859999999,454979.3906666666,58,0,1,0,Tier 1: Direct Sales Outreach
8313906b,Specialty retail,small,US,unattributed,0.0,0.0,6533262.12,435550.808,19,0,1,0,Tier 1: Direct Sales Outreach
ab890044,Software,large,US,unattributed,0.0,0.0,5849231.5,417802.25,37,0,1,0,Tier 1: Direct Sales Outreach
96301953,Transportation & car rental,medium,US,unattributed,0.0,0.0,4864747.260000001,405395.60500000004,14,0,1,0,Tier 1: Direct Sales Outreach
47b31bce,Travel & lodging,small,US,unattributed,0.0,0.0,5849126.04,389941.736,41,0,1,0,Tier 1: Direct Sales Outreach
92ae309d,Business services,medium,CA,unattributed,0.0,0.0,5810385.300000001,387359.0200000001,47,1,0,0,Tier 1: Direct Sales Outreach
77ccd371,Personal services,small,DE,unattributed,0.0,0.0,3082881.1700000004,385360.14625000005,31,1,0,0,Tier 1: Direct Sales Outreach
d2ed5167,Grocery & food stores,small,US,unattributed,0.0,0.0,5760562.7299999995,384037.5153333333,26,0,1,0,Tier 1: Direct Sales Outreach
4332c887,Education,medium,US,unattributed,0.0,0.0,5244087.5600000005,374577.6828571429,92,0,1,0,Tier 1: Direct Sales Outreach
72ff810a,Software,small,US,unattributed,0.0,0.0,5576428.4,371761.89333333337,118,0,1,0,Tier 1: Direct Sales Outreach
212b5134,Software,small,US,unattributed,0.0,239.96,5154990.31,343666.0206666666,13,0,1,0,Tier 1: Direct Sales Outreach
5bf690c7,Business services,small,DE,unattributed,0.0,0.0,5024438.119999999,334962.5413333333,68,1,0,0,Tier 1: Direct Sales Outreach
2e28a13f,Software,medium,US,unattributed,0.0,0.0,4591402.410000001,327957.31500000006,64,0,1,0,Tier 1: Direct Sales Outreach
565894ea,Travel & lodging,small,US,unattributed,0.0,0.0,3278699.41,327869.941,108,0,1,0,Tier 1: Direct Sales Outreach
10f3da90,Software,medium,US,unattributed,0.0,0.0,3247384.2,324738.42000000004,2,0,1,0,Tier 1: Direct Sales Outreach
aa97aed9,Software,small,US,unattributed,0.0,0.0,4673878.96,311591.93066666665,60,0,1,0,Tier 1: Direct Sales Outreach
b5030e0c,Business services,small,US,unattributed,0.0,0.0,290000.0,290000.0,65,1,1,0,Tier 1: Direct Sales Outreach
8724570d,Business services,medium,US,unattributed,1544314.6600000001,0.0,3907320.66,279094.33285714284,10,1,1,0,Tier 1: Direct Sales Outreach
8d568693,Construction,small,US,unattributed,0.0,0.0,3868815.0900000003,276343.935,8,0,1,0,Tier 1: Direct Sales Outreach
e17e4195,Others,small,US,checkout,3925976.4399999995,0.0,3981218.4399999995,265414.56266666664,19,0,1,0,Tier 1: Direct Sales Outreach
5b968095,Education,small,US,unattributed,0.0,0.0,3935121.6799999997,262341.44533333334,45,0,1,0,Tier 1: Direct Sales Outreach
29860b39,Business services,small,US,unattributed,0.0,0.0,3132199.46,261016.62166666667,13,1,1,0,Tier 1: Direct Sales Outreach
efd5895e,Education,small,US,unattributed,0.0,0.0,3655658.77,243710.58466666666,80,0,1,0,Tier 1: Direct Sales Outreach
e83c611f,Software,large,US,unattributed,0.0,0.0,3404760.43,243197.17357142858,56,0,1,0,Tier 1: Direct Sales Outreach
8f82f53c,Clothing & accessory,small,US,unattributed,0.0,0.0,3375001.36,241071.5257142857,32,0,1,0,Tier 1: Direct Sales Outreach
080a778f,Business services,small,US,unattributed,0.0,0.0,2605138.0,236830.72727272726,3,1,1,0,Tier 1: Direct Sales Outreach
522e022f,Travel & lodging,small,US,unattributed,0.0,0.0,3206444.1499999994,229031.72499999995,51,0,1,0,Tier 1: Direct Sales Outreach
0cc926fc,Business services,small,US,unattributed,0.0,0.0,3430189.78,228679.31866666666,30,1,1,0,Tier 1: Direct Sales Outreach
05ed70df,Automotive parts and repair/service shops,small,US,unattributed,0.0,0.0,3413657.5,227577.16666666666,25,0,1,0,Tier 1: Direct Sales Outreach
00a43c37,Business services,small,US,unattributed,0.0,0.0,3413052.83,227536.85533333334,10,1,1,0,Tier 1: Direct Sales Outreach
1aeced44,Business services,small,CA,unattributed,0.0,0.0,886651.3099999999,221662.82749999998,104,1,0,0,Tier 1: Direct Sales Outreach
83beefc3,Business services,small,US,unattributed,0.0,0.0,3257323.7800000003,217154.9186666667,31,1,1,0,Tier 1: Direct Sales Outreach
a420408b,Software,medium,JP,unattributed,0.0,0.0,3252073.7199999993,216804.91466666662,37,0,1,0,Tier 1: Direct Sales Outreach
ba06e117,Healthcare,large,US,unattributed,0.0,0.0,425715.38,212857.69,50,0,1,0,Tier 1: Direct Sales Outreach
cee493f2,Business services,small,US,unattributed,0.0,0.0,3177358.2,211823.88,9,1,1,0,Tier 1: Direct Sales Outreach
54dbcd1a,Education,small,US,unattributed,0.0,0.0,3142353.9499999993,209490.26333333328,63,0,1,0,Tier 1: Direct Sales Outreach
1485823e,Charity,medium,US,unattributed,0.0,3140.0,3000455.0,200030.33333333334,63,0,1,0,Tier 1: Direct Sales Outreach
1079ba76,Business services,small,US,unattributed,0.0,0.0,2163986.11,196726.00999999998,3,1,1,0,Tier 1: Direct Sales Outreach
91368159,Ticketing & events,small,US,unattributed,0.0,0.0,2336712.45,194726.0375,20,0,1,0,Tier 1: Direct Sales Outreach
fdde6d33,Ticketing & events,small,US,unattributed,0.0,0.0,757585.28,189396.32,27,0,1,0,Tier 1: Direct Sales Outreach
23207cb2,Food & drink,small,US,unattributed,0.0,0.0,2840916.48,189394.432,12,0,1,0,Tier 1: Direct Sales Outreach
98775575,Furnishing,small,US,unattributed,0.0,324.75,2488613.22,177758.08714285717,55,0,1,0,Tier 1: Direct Sales Outreach
836f3ecb,Education,small,US,unattributed,0.0,0.0,2605665.1699999995,173711.0113333333,17,0,1,0,Tier 1: Direct Sales Outreach
96ab5e9b,Clothing & accessory,small,US,unattributed,0.0,0.0,2562835.0400000005,170855.66933333335,11,0,1,0,Tier 1: Direct Sales Outreach
73cb483b,Business services,medium,US,unattributed,0.0,0.0,2372693.89,169478.135,16,1,1,0,Tier 1: Direct Sales Outreach
84b20e60,Automotive parts and repair/service shops,small,US,unattributed,0.0,0.0,2365959.63,168997.11642857143,45,0,1,0,Tier 1: Direct Sales Outreach
584a12a5,Travel & lodging,small,US,unattributed,0.0,0.0,2154646.4,165742.03076923077,44,0,1,0,Tier 1: Direct Sales Outreach
37adf941,Transportation & car rental,medium,US,unattributed,0.0,0.0,2463352.43,164223.49533333335,35,0,1,0,Tier 1: Direct Sales Outreach
2d0800d4,"Medical services, drugs, testing labs & equipment medium",medium,US,unattributed,0.0,0.0,2462589.7600000002,164172.65066666668,77,0,1,0,Tier 1: Direct Sales Outreach
79c43706,Software,small,US,unattributed,0.0,0.0,2360029.5300000003,157335.30200000003,27,0,1,0,Tier 1: Direct Sales Outreach
9879a7d6,Leisure,small,US,checkout,2355924.6500000004,0.0,2359950.4000000004,157330.0266666667,82,0,1,0,Tier 1: Direct Sales Outreach
ec3d30f8,Business services,small,FR,unattributed,0.0,57.13,2270788.7600000007,151385.91733333337,12,1,0,0,Tier 1: Direct Sales Outreach
6ffe668f,Business services,small,GB,unattributed,0.0,80526.99,452806.99,150935.66333333333,46,1,0,0,Tier 1: Direct Sales Outreach
05d97088,Business services,small,US,unattributed,0.0,0.0,2253622.8000000003,150241.52000000002,56,1,1,0,Tier 1: Direct Sales Outreach
0ed31057,Digital goods,small,US,unattributed,0.0,0.0,2061761.35,147268.66785714286,66,0,1,0,Tier 1: Direct Sales Outreach
01a8792b,Others,small,US,unattributed,607.56,0.0,2028740.6099999999,144910.04357142857,58,0,1,0,Tier 1: Direct Sales Outreach
50e356e2,Others,small,US,unattributed,0.0,0.0,1111573.74,138946.7175,78,0,1,0,Tier 1: Direct Sales Outreach
92303f03,Grocery & food stores,small,US,unattributed,0.0,0.0,1937053.1199999999,138360.93714285715,54,0,1,0,Tier 1: Direct Sales Outreach
0c1e4890,Education,medium,US,unattributed,0.0,0.0,2044593.11,136306.20733333335,90,0,1,0,Tier 1: Direct Sales Outreach
dc4640a7,Business services,small,US,unattributed,0.0,0.0,2037999.27,135866.618,39,1,1,0,Tier 1: Direct Sales Outreach
475537c5,Furnishing,small,US,unattributed,0.0,0.0,135000.0,135000.0,14,0,1,0,Tier 1: Direct Sales Outreach
740079ae,Software,small,US,unattributed,0.0,0.0,2011465.87,134097.72466666668,70,0,1,0,Tier 1: Direct Sales Outreach
206f8de4,Personal services,medium,AU,unattributed,0.0,0.0,1868691.38,133477.9557142857,52,1,0,0,Tier 1: Direct Sales Outreach
c7e42c0e,Others,medium,US,unattributed,0.0,0.0,1466917.6600000001,133356.1509090909,48,0,1,0,Tier 1: Direct Sales Outreach
6a3ca253,Ticketing & events,small,US,unattributed,0.0,0.0,1586425.45,132202.12083333332,5,0,1,0,Tier 1: Direct Sales Outreach
21d596b9,Grocery & food stores,small,US,unattributed,0.0,0.0,1936950.73,129130.04866666667,61,0,1,0,Tier 1: Direct Sales Outreach
3e8d70d1,Specialty retail,small,US,unattributed,0.0,0.0,1934423.85,128961.59000000001,35,0,1,0,Tier 1: Direct Sales Outreach
2ecbb8d6,Others,small,US,unattributed,0.0,0.0,1932316.79,128821.11933333334,60,0,1,0,Tier 1: Direct Sales Outreach
59ca70d5,Specialty retail,small,US,unattributed,0.0,0.0,1878823.28,125254.88533333334,46,0,1,0,Tier 1: Direct Sales Outreach
302178f9,Clothing & accessory,small,US,unattributed,0.0,0.0,1874317.9599999997,124954.53066666664,18,0,1,0,Tier 1: Direct Sales Outreach
662284f3,Ticketing & events,small,US,unattributed,0.0,0.0,1853058.9000000004,123537.26000000002,50,0,1,0,Tier 1: Direct Sales Outreach
e4342891,Clothing & accessory,small,JP,unattributed,0.0,0.0,1851857.8699999999,123457.19133333332,54,0,1,0,Tier 1: Direct Sales Outreach
7e9474f8,Travel & lodging,small,US,unattributed,4.0,0.0,1728291.0,123449.35714285714,32,0,1,0,Tier 1: Direct Sales Outreach
05dd0a9e,Education,small,US,unattributed,0.0,0.0,1842243.26,122816.21733333333,66,0,1,0,Tier 1: Direct Sales Outreach
906d7e15,Electronics,small,US,unattributed,0.0,0.0,1837817.21,122521.14733333333,15,0,1,0,Tier 1: Direct Sales Outreach
c774f87d,Software,small,US,unattributed,0.0,0.0,1833638.84,122242.58933333334,34,0,1,0,Tier 1: Direct Sales Outreach
8970241d,Healthcare,small,US,unattributed,0.0,0.0,1694039.21,121002.80071428571,12,0,1,0,Tier 1: Direct Sales Outreach
917f4e64,Business services,small,GB,checkout,1680542.3399999999,0.0,1680542.3399999999,120038.73857142856,48,1,0,0,Tier 1: Direct Sales Outreach
d85662d8,Cosmetics,small,US,unattributed,0.0,188000.0,1791037.82,119402.52133333334,28,0,1,0,Tier 1: Direct Sales Outreach
6f3a8607,Business services,small,CA,unattributed,0.0,3000.0,1662215.3300000003,118729.66642857145,99,1,0,0,Tier 1: Direct Sales Outreach
aab83a01,Business services,large,IE,unattributed,0.0,0.0,1660061.9000000001,118575.85,13,1,0,0,Tier 1: Direct Sales Outreach
0fbc3581,Education,small,US,unattributed,0.0,0.0,1714215.97,114281.06466666666,16,0,1,0,Tier 1: Direct Sales Outreach
afb3b688,Software,small,US,unattributed,0.0,0.0,1709340.1400000001,113956.00933333334,98,0,1,0,Tier 1: Direct Sales Outreach
a5a6c32b,Digital goods,small,US,unattributed,183606.82,0.0,1694589.2000000002,112972.61333333334,21,0,1,0,Tier 1: Direct Sales Outreach
9d725c10,Ticketing & events,small,US,unattributed,0.0,0.0,1687531.7799999998,112502.11866666665,22,0,1,0,Tier 1: Direct Sales Outreach
e529745c,Leisure,small,US,unattributed,0.0,3001.0,1232569.37,112051.76090909092,3,0,1,0,Tier 1: Direct Sales Outreach
d37c298e,Merchandise,small,US,unattributed,0.0,0.0,1636250.8399999999,109083.38933333333,20,0,1,0,Tier 1: Direct Sales Outreach
19d938b6,Software,small,US,unattributed,16198.340000000002,0.0,974732.75,108303.63888888889,2,0,1,0,Tier 1: Direct Sales Outreach
4277c796,Business services,small,GB,unattributed,0.0,0.0,1515815.21,108272.515,57,1,0,0,Tier 1: Direct Sales Outreach
238fe853,Software,small,US,unattributed,0.0,0.0,1512892.6500000001,108063.76071428573,51,0,1,0,Tier 1: Direct Sales Outreach
00ef7320,Business services,medium,US,unattributed,0.0,0.0,1504137.1600000001,107438.36857142858,28,1,1,0,Tier 1: Direct Sales Outreach
a85133f0,Business services,small,US,unattributed,0.0,0.0,1580098.5199999998,105339.90133333331,37,1,1,0,Tier 1: Direct Sales Outreach
10ecfa60,Business services,large,US,unattributed,0.0,0.0,1570091.74,104672.78266666667,65,1,1,0,Tier 1: Direct Sales Outreach
6db15270,Software,small,US,unattributed,0.0,0.0,1550351.0699999998,103356.73799999998,48,0,1,0,Tier 1: Direct Sales Outreach
8687f81f,Ticketing & events,medium,US,unattributed,0.0,0.0,1533183.3199999998,102212.22133333332,48,0,1,0,Tier 1: Direct Sales Outreach
31227351,Travel & lodging,small,US,unattributed,0.0,0.0,1243966.03,95689.69461538462,6,0,1,0,Tier 1: Direct Sales Outreach
65d00d5e,Charity,small,US,unattributed,0.0,0.0,1389260.8800000001,92617.392,11,0,1,0,Tier 1: Direct Sales Outreach
aaf354cc,Business services,small,US,unattributed,2500.0,42000.0,1193160.2000000002,91781.55384615387,44,1,1,0,Tier 1: Direct Sales Outreach
9d80e38e,Personal services,small,US,unattributed,0.0,0.0,1370925.8499999999,91395.05666666666,11,1,1,0,Tier 1: Direct Sales Outreach
012258f6,Business services,small,US,unattributed,483369.15,0.0,1270698.16,90764.15428571428,44,1,1,0,Tier 1: Direct Sales Outreach
ec7ddb64,Ticketing & events,small,US,unattributed,0.0,0.0,1072475.9200000002,89372.99333333335,59,0,1,0,Tier 1: Direct Sales Outreach
c609c088,Business services,small,AE,checkout,961159.52,3539.32,966030.34,87820.94,3,1,1,0,Tier 1: Direct Sales Outreach
99514968,Ticketing & events,small,US,unattributed,0.0,0.0,1302142.75,86809.51666666666,33,0,1,0,Tier 1: Direct Sales Outreach
4bf9c411,Others,small,US,unattributed,0.0,0.0,1278092.95,85206.19666666667,18,0,1,0,Tier 1: Direct Sales Outreach
e476ed7a,Transportation & car rental,small,US,unattributed,0.0,0.0,762952.2200000001,84772.46888888889,3,0,1,0,Tier 1: Direct Sales Outreach
f23a3d22,Charity,small,US,unattributed,0.0,0.0,843781.5,84378.15,69,0,1,0,Tier 1: Direct Sales Outreach
e5e44c6f,Travel & lodging,large,US,unattributed,0.0,0.0,1092227.84,84017.52615384616,40,0,1,0,Tier 1: Direct Sales Outreach
dd62d56a,Education,small,US,unattributed,0.0,0.0,1250557.85,83370.52333333335,54,0,1,0,Tier 1: Direct Sales Outreach
7b465b0e,Software,small,US,unattributed,0.0,0.0,1221190.19,81412.67933333333,54,0,1,0,Tier 1: Direct Sales Outreach
992038f7,Others,small,US,unattributed,0.0,0.0,1212645.32,80843.02133333334,30,0,1,0,Tier 1: Direct Sales Outreach
23ef8149,Specialty retail,small,US,unattributed,0.0,0.0,1116290.7200000002,79735.05142857145,13,0,1,0,Tier 1: Direct Sales Outreach
e127237f,Ticketing & events,small,US,unattributed,0.0,0.0,1031561.24,79350.86461538462,5,0,1,0,Tier 1: Direct Sales Outreach
acf7f698,Business services,small,US,unattributed,0.0,0.0,1164047.31,77603.15400000001,13,1,1,0,Tier 1: Direct Sales Outreach
b708486a,Travel & lodging,small,US,unattributed,0.0,0.0,543137.5,77591.07142857143,18,0,1,0,Tier 1: Direct Sales Outreach
c38b61e8,Personal services,small,US,unattributed,0.0,0.0,1162443.55,77496.23666666666,48,1,1,0,Tier 1: Direct Sales Outreach
f881b980,Software,small,US,unattributed,161919.9,5965.32,1083015.12,77358.22285714287,6,0,1,0,Tier 1: Direct Sales Outreach
453a15e8,Merchandise,small,US,unattributed,0.0,0.0,1156663.9100000001,77110.92733333334,30,0,1,0,Tier 1: Direct Sales Outreach
15f61630,Software,small,US,unattributed,0.0,0.0,1153918.04,76927.86933333334,114,0,1,0,Tier 1: Direct Sales Outreach
df47bd12,Charity,small,US,unattributed,0.0,0.0,1147534.97,76502.33133333334,73,0,1,0,Tier 1: Direct Sales Outreach
647fb5b0,Others,small,US,unattributed,0.0,0.0,678166.08,75351.78666666667,31,0,1,0,Tier 1: Direct Sales Outreach
01f9bf03,Digital goods,small,US,checkout,1081308.3099999998,0.0,1081380.7,72092.04666666666,12,0,1,0,Tier 1: Direct Sales Outreach
ac26c5d4,Personal services,small,BG,checkout,360096.47,0.0,360096.47,72019.294,9,1,0,0,Tier 1: Direct Sales Outreach
b75b2401,Education,small,US,unattributed,0.0,0.0,921870.69,70913.12999999999,36,0,1,0,Tier 1: Direct Sales Outreach
acb64d54,Travel & lodging,small,US,unattributed,0.0,0.0,1060910.42,70727.36133333333,37,0,1,0,Tier 1: Direct Sales Outreach
c73cb467,Specialty retail,small,US,checkout,916107.1,0.0,916230.1999999998,70479.24615384614,5,0,1,0,Tier 1: Direct Sales Outreach
4aee11e8,Electronics,small,US,unattributed,0.0,0.0,280011.17,70002.7925,8,0,1,0,Tier 1: Direct Sales Outreach
434f1a52,Business services,small,GB,unattributed,0.0,0.0,1034351.75,68956.78333333334,25,1,0,0,Tier 1: Direct Sales Outreach
0c98602c,Ticketing & events,small,US,unattributed,0.0,0.0,343748.81,68749.762,16,0,1,0,Tier 1: Direct Sales Outreach
c92ae5f1,Business services,medium,US,unattributed,0.0,0.0,1022130.8500000001,68142.05666666667,74,1,1,0,Tier 1: Direct Sales Outreach
b1883832,Art & photography,small,US,unattributed,0.0,0.0,942373.6600000001,67312.40428571429,39,0,1,0,Tier 1: Direct Sales Outreach
c35612ed,Ticketing & events,small,US,unattributed,0.0,136.0,941393.2100000001,67242.37214285714,6,0,1,0,Tier 1: Direct Sales Outreach
336598cf,Clothing & accessory,small,US,unattributed,0.0,0.0,1001486.6100000001,66765.774,24,0,1,0,Tier 1: Direct Sales Outreach
6d4c21b1,Merchandise,small,JP,unattributed,0.0,583.37,933115.74,66651.12428571428,26,0,1,0,Tier 1: Direct Sales Outreach
fcb105e3,Others,small,US,unattributed,0.0,0.0,996244.0900000002,66416.27266666669,78,0,1,0,Tier 1: Direct Sales Outreach
40595b3f,Software,small,US,unattributed,0.0,0.0,995528.82,66368.588,94,0,1,0,Tier 1: Direct Sales Outreach
fbf80ac5,Business services,small,US,unattributed,0.0,0.0,988482.7699999998,65898.85133333332,15,1,1,0,Tier 1: Direct Sales Outreach
3a1da47c,Software,small,US,unattributed,0.0,0.0,979478.0399999999,65298.53599999999,96,0,1,0,Tier 1: Direct Sales Outreach
7c319c61,Software,large,US,unattributed,0.0,0.0,912552.57,65182.326428571425,7,0,1,0,Tier 1: Direct Sales Outreach
1228a470,Others,small,US,unattributed,0.0,0.0,65088.0,65088.0,27,0,1,0,Tier 1: Direct Sales Outreach
1d836cc3,Ticketing & events,small,US,unattributed,0.0,0.0,970373.39,64691.55933333333,23,0,1,0,Tier 1: Direct Sales Outreach
e51a114a,Business services,large,NO,unattributed,0.0,0.0,886461.79,63318.69928571429,31,1,0,0,Tier 1: Direct Sales Outreach
f1112c7e,Business services,small,US,unattributed,0.0,0.0,876679.1,62619.93571428571,10,1,1,0,Tier 1: Direct Sales Outreach
100afc6e,"Religion, politics & other memberships",small,US,paylink,104500.0,414193.4,807943.4,62149.49230769231,22,0,1,1,Tier 1: Direct Sales Outreach
9d0e84ca,Others,small,US,unattributed,0.0,0.0,868670.78,62047.91285714286,7,0,1,0,Tier 1: Direct Sales Outreach
0906d920,Personal services,small,IT,unattributed,0.0,0.0,923616.2300000001,61574.41533333334,31,1,0,0,Tier 1: Direct Sales Outreach
4966f4ee,Personal services,small,GB,unattributed,0.0,0.0,365856.03,60976.005000000005,19,1,0,0,Tier 1: Direct Sales Outreach
3de281be,Furnishing,small,US,unattributed,0.0,0.0,905392.85,60359.52333333333,53,0,1,0,Tier 1: Direct Sales Outreach
a3faa339,Charity,small,US,unattributed,7113.9,55.0,655971.9,59633.80909090909,118,0,1,0,Tier 1: Direct Sales Outreach
c6987d18,Electronics,small,US,checkout,842759.1,0.0,890241.3300000001,59349.422000000006,80,0,1,0,Tier 1: Direct Sales Outreach
5d99e4b9,Business services,small,US,unattributed,0.0,0.0,884425.0,58961.666666666664,61,1,1,0,Tier 1: Direct Sales Outreach
dd469cf7,Others,small,US,unattributed,0.0,0.0,530469.3200000001,58941.035555555565,16,0,1,0,Tier 1: Direct Sales Outreach
e897e85b,Insurance,small,US,unattributed,0.0,35435.56,825077.2500000001,58934.0892857143,34,0,1,0,Tier 1: Direct Sales Outreach
832f5641,Business services,small,AU,checkout,822324.4100000001,0.0,822324.4100000001,58737.457857142865,8,1,0,0,Tier 1: Direct Sales Outreach
6709d077,Others,medium,US,paylink,128098.2,307610.0,703817.8200000001,58651.48500000001,19,0,1,1,Tier 1: Direct Sales Outreach
f8d55154,Education,small,US,unattributed,0.0,0.0,816127.1,58294.79285714286,47,0,1,0,Tier 1: Direct Sales Outreach
2cd28f9a,Food & drink,small,US,unattributed,0.0,0.0,872785.0,58185.666666666664,20,0,1,0,Tier 1: Direct Sales Outreach
29581d4d,Charity,small,US,unattributed,0.0,0.0,58081.68,58081.68,13,0,1,0,Tier 1: Direct Sales Outreach
0383dadb,Specialty retail,small,US,unattributed,0.0,0.0,57625.16,57625.16,10,0,1,0,Tier 1: Direct Sales Outreach
fa62edcd,"Medical services, drugs, testing labs & equipment medium",small,US,paylink,0.0,434354.83999999997,460382.33999999997,57547.792499999996,14,0,1,1,Tier 1: Direct Sales Outreach
28f02a5e,Personal services,small,US,unattributed,0.0,0.0,861220.63,57414.708666666666,18,1,1,0,Tier 1: Direct Sales Outreach
10a5ba74,Furnishing,small,US,unattributed,0.0,0.0,803493.7799999999,57392.41285714285,19,0,1,0,Tier 1: Direct Sales Outreach
52a55dec,Business services,medium,US,unattributed,0.0,0.0,860006.4799999999,57333.76533333332,17,1,1,0,Tier 1: Direct Sales Outreach
bd77f9cb,Education,medium,JP,unattributed,0.0,0.0,858787.4000000001,57252.49333333334,24,0,1,0,Tier 1: Direct Sales Outreach
843ea75f,"Religion, politics & other memberships",small,US,unattributed,0.0,0.0,850447.5,56696.5,10,0,1,0,Tier 1: Direct Sales Outreach
d17cbee2,"Medical services, drugs, testing labs & equipment medium",small,US,checkout,847300.0,0.0,847300.0,56486.666666666664,17,0,1,0,Tier 1: Direct Sales Outreach
0304f11f,Business services,small,US,unattributed,0.0,0.0,841477.3600000001,56098.49066666667,82,1,1,0,Tier 1: Direct Sales Outreach
425abc34,Transportation & car rental,small,US,unattributed,0.0,0.0,616070.69,56006.42636363636,3,0,1,0,Tier 1: Direct Sales Outreach
2793e18d,Personal services,small,SI,unattributed,0.0,0.0,834261.98,55617.46533333333,25,1,0,0,Tier 1: Direct Sales Outreach
d7324d31,Software,small,JP,unattributed,0.0,0.0,662192.61,55182.7175,33,0,1,0,Tier 1: Direct Sales Outreach
63e6a5bf,Merchandise,small,US,unattributed,0.0,0.0,496563.37,55173.707777777774,3,0,1,0,Tier 1: Direct Sales Outreach
8141ca88,Business services,small,GB,unattributed,0.0,1890.69,603530.1199999999,54866.374545454535,25,1,0,0,Tier 1: Direct Sales Outreach
